FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population,Population Density (per sq. mile),Area (Land),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median household income (In 2013 Inflation Adjusted Dollars),Median household income (In 2013 Inflation Adjusted Dollars):,Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Black or African American Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Asian Alone,Median household income (In 2013 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Two or More Races Householder,Median household income (In 2013 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder, not Hispanic or Latino",Average household income (In 2013 Inflation Adjusted Dollars),Median Family Income (In 2013 Inflation adjusted dollars),Average Family Income (In 2013 Inflation adjusted dollars),Median Nonfamily Household Income (In 2013 Inflation Adjusted Dollars),Average Nonfamily Income (In 2013 Inflation Adjusted Dollars),Median Income For Population 15 years and over:,Median Income For Population 15 years and over: Male,"Median Income For Population 15 years and over: Male: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Male: Other,Median Income For Population 15 years and over: Female,"Median Income For Population 15 years and over: Female: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Female: Other,Median Earnings:,Median Earnings: Less than high school graduate,Median Earnings: High school graduate (includes equivalency),Median Earnings: Some college or associate's degree,Median Earnings: Bachelor's degree,Median Earnings: Graduate or professional degree,Median Earnings: Male,Median Earnings: Male: Less than high school graduate,Median Earnings: Male: High school graduate (includes equivalency),Median Earnings: Male: Some college or associate's degree,Median Earnings: Male: Bachelor's degree,Median Earnings: Male: Graduate or professional degree,Median Earnings: Female,Median Earnings: Female: Less than high school graduate,Median Earnings: Female: High school graduate (includes equivalency),Median Earnings: Female: Some college or associate's degree,Median Earnings: Female: Bachelor's degree,Median Earnings: Female: Graduate or professional degree,Median Household Income Occupied housing units:,Median Household Income Occupied housing units: Owner occupied,Median Household Income Occupied housing units: Renter occupied,Percent Difference Median Income House Owner Occupied and Renter Occupied,Households:,Households: With earnings,Households: No earnings,Households:,Households: With wage or salary income,Households: No wage or salary income,Households:,Households: With self-employment income,Households: No self-employment income,Households:,"Households: With interest, dividends, or net rental income","Households: No interest, dividends, or net rental income",Households:,Households: With Social Security income,Households: No Social Security income,Households:,Households: With Supplemental Security Income (SSI),Households: No Supplemental Security Income (SSI),Households:,Households: With public assistance income,Households: No public assistance income,Households:,Households: With retirement income,Households: No retirement income,Households:,Households: With Other types of income,Households: No Other types of income,Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars)
10410451,10451 ZCTA5,10451 ZCTA5,us,860,0,ACSSF,13121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10451,,,,,,,,,,,86000US10451,,,2628487,3019,47069,47069,46379.59,1.014864548,17529,3707,2160,1525,1002,877,1205,861,1115,716,1041,1269,1146,479,168,163,95,26754,26754,20725,33625,25294,30375,,19813,35278,19394,43359,36559,30757,39722,17344,29760,15736,18334,33107,9563,13622,34419,9179,25477,16652,21933,31408,40712,62511,26625,19404,23973,37633,39464,68428,23969,13040,21074,28687,40860,60759,26754,52522,23429,-55%,17529,11793,5736,17529,11424,6105,17529,856,16673,17529,838,16691,17529,4513,13016,17529,2811,14718,17529,1704,15825,17529,2001,15528,17529,2743,14786,14629,15399,17237,10280,14270,,10921,15434,11877,30062
10410452,10452 ZCTA5,10452 ZCTA5,us,860,0,ACSSF,13122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10452,,,,,,,,,,,86000US10452,,,2550148,0,74931,74931,76101.62,0.984617689,24701,4157,3011,2682,2098,1734,1521,1268,1170,1153,1909,1504,1344,767,186,143,54,25979,25979,20536,30819,23664,44063,,25957,25171,23820,50455,36081,28080,37735,17606,27573,15826,17958,29192,9834,13861,30216,9430,22157,17447,21919,24212,36092,36618,24803,20441,25835,25769,36180,31192,20421,15753,19610,23254,36026,49940,25979,52353,25466,-51%,24701,18468,6233,24701,17655,7046,24701,2196,22505,24701,536,24165,24701,4544,20157,24701,3882,20819,24701,2531,22170,24701,1950,22751,24701,3650,21051,13019,11982,15673,9000,12495,,11578,12328,11733,13193
10410453,10453 ZCTA5,10453 ZCTA5,us,860,0,ACSSF,13123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10453,,,,,,,,,,,86000US10453,,,2372412,12725,79793,79793,87110.88,0.915993433,25624,5308,3190,2500,1620,1907,1525,1180,1047,1073,1733,1644,1869,551,177,231,69,25470,25470,21364,28074,11000,49545,,23595,22465,23440,38664,35380,27368,36825,15732,26401,14351,16974,29502,9261,12333,26577,9129,20731,15411,20971,24134,34794,30930,23517,18014,23904,28714,33309,33384,17630,12235,16749,19220,36484,29323,25470,70893,24557,-65%,25624,19244,6380,25624,18102,7522,25624,2740,22884,25624,775,24849,25624,4216,21408,25624,4565,21059,25624,3200,22424,25624,1627,23997,25624,2936,22688,12616,12523,14403,9725,16546,16180,11710,8453,11383,25929
10410454,10454 ZCTA5,10454 ZCTA5,us,860,0,ACSSF,13124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10454,,,,,,,,,,,86000US10454,,,2699702,0,38089,38089,36541.09,1.042360814,12467,3172,1849,1154,1181,793,605,518,462,412,592,564,605,248,44,200,68,20232,20232,19505,15497,36172,33073,,23080,17647,20479,56328,31813,23217,34694,12170,21678,13112,15815,29185,9486,11282,26864,8947,21031,16265,20686,24327,33624,40000,23092,18557,22570,35765,40521,21023,19186,12227,18750,22621,31458,47684,20232,68977,19261,-72%,12467,7977,4490,12467,7599,4868,12467,772,11695,12467,192,12275,12467,3139,9328,12467,2518,9949,12467,1230,11237,12467,880,11587,12467,1513,10954,11561,13363,10067,31478,16366,,10690,12967,11262,22504
10410455,10455 ZCTA5,10455 ZCTA5,us,860,0,ACSSF,13125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10455,,,,,,,,,,,86000US10455,,,1844518,0,38576,38576,54166.66,0.712172412,13228,3217,1634,1277,837,851,871,889,384,474,813,909,526,331,114,77,24,22609,22609,26388,24404,31176,,,19802,18772,22314,32222,32349,28192,35885,13357,21428,14715,16587,25735,9667,13032,31074,9440,22242,16301,21532,31202,36893,50152,22430,17419,27465,35871,48421,41591,21931,14715,19398,30195,33953,51705,22609,53125,20968,-61%,13228,8378,4850,13228,7929,5299,13228,868,12360,13228,287,12941,13228,3531,9697,13228,2786,10442,13228,1343,11885,13228,1022,12206,13228,1564,11664,12231,14420,12990,8981,14061,,11211,6860,11869,18009
10410456,10456 ZCTA5,10456 ZCTA5,us,860,0,ACSSF,13126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10456,,,,,,,,,,,86000US10456,,,2637787,0,87723,87723,86133.38,1.018455298,28349,6341,3341,2737,2356,1802,1659,1224,1294,1305,1754,1554,1520,741,313,367,41,23452,23452,23355,22852,12273,39267,,23530,24950,23727,16964,34753,27108,37475,14422,24963,14882,17854,27428,10717,11937,29701,8875,22004,16507,21147,28326,32889,56250,23750,19247,22679,30666,35274,47250,19730,13267,18868,25692,32142,60383,23452,74316,22005,-70%,28349,20259,8090,28349,19467,8882,28349,2163,26186,28349,561,27788,28349,6074,22275,28349,4678,23671,28349,3669,24680,28349,1937,26412,28349,3649,24700,12486,13183,13009,54529,11158,,11584,11911,11853,17553
10410457,10457 ZCTA5,10457 ZCTA5,us,860,0,ACSSF,13127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10457,,,,,,,,,,,86000US10457,,,2748734,0,70282,70282,66223.05,1.061292176,22570,4861,2535,1931,1974,1616,1266,1168,1195,768,1248,1390,1372,714,211,247,74,24949,24949,21919,27153,15625,64773,,22739,26339,22830,35697,36594,27736,38245,15489,28602,15409,17325,28033,9846,13107,29068,9192,22035,17085,21390,25749,31434,50917,25322,19633,23419,28369,31682,59095,20649,14601,20005,22958,31144,49013,24949,73378,23120,-68%,22570,15781,6789,22570,15112,7458,22570,1872,20698,22570,555,22015,22570,4380,18190,22570,3785,18785,22570,2723,19847,22570,1612,20958,22570,3199,19371,12952,14147,13668,9701,26530,,11662,10771,12194,14410
10410458,10458 ZCTA5,10458 ZCTA5,us,860,0,ACSSF,13128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10458,,,,,,,,,,,86000US10458,,,2613249,0,74859,74859,74192.66,1.008981123,25329,5155,2946,2436,2271,1346,1307,1081,1120,864,1402,1661,1864,975,393,290,218,24618,24618,20456,27839,29271,31728,,25491,23776,24104,22318,39383,28762,41844,17943,31851,15882,19475,30963,9583,12727,32229,8906,24375,18726,22498,31353,37334,45285,26051,20989,25392,33358,37414,45417,21677,14504,19357,29848,37213,44643,24618,58389,23711,-59%,25329,17853,7476,25329,16975,8354,25329,2125,23204,25329,893,24436,25329,5111,20218,25329,3689,21640,25329,2291,23038,25329,1625,23704,25329,2965,22364,14488,14805,16742,15794,23187,,12769,13077,13611,11776
10410459,10459 ZCTA5,10459 ZCTA5,us,860,0,ACSSF,13129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10459,,,,,,,,,,,86000US10459,,,2115928,0,47977,47977,58725.94,0.816964403,15402,3628,1661,1424,1087,1118,1033,499,819,560,1013,1031,749,410,177,140,53,24461,24461,19353,30073,34432,26563,,22270,20673,22375,13913,35420,27756,38275,11784,23035,15212,16548,27478,9352,13777,29492,8836,24187,18568,22066,30467,35398,40227,25297,21340,22344,36906,36334,39048,23438,16079,21560,27961,33843,42045,24461,63232,21786,-66%,15402,10582,4820,15402,10159,5243,15402,983,14419,15402,383,15019,15402,3524,11878,15402,2843,12559,15402,1539,13863,15402,776,14626,15402,2180,13222,12436,13494,14665,12970,13131,3410,11163,8177,11625,11550
10410460,10460 ZCTA5,10460 ZCTA5,us,860,0,ACSSF,13130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10460,,,,,,,,,,,86000US10460,,,3407078,0,56084,56084,42633.86,1.315480226,19128,4468,2334,1973,1491,1249,899,961,827,448,1040,1133,1344,494,252,111,104,22307,22307,20539,24633,20703,26198,,21938,14921,21210,22411,34517,25893,36667,14056,25106,15268,18021,31021,10207,13115,29144,8880,23877,18110,21523,30823,33000,52865,25978,22981,22193,32014,32917,48250,21866,14489,20389,29023,33409,59009,22307,57361,20497,-64%,19128,13167,5961,19128,12649,6479,19128,1172,17956,19128,530,18598,19128,4086,15042,19128,3243,15885,19128,1931,17197,19128,1341,17787,19128,2205,16923,12828,15800,14116,6176,14162,,11363,14394,11823,23043
