FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,Census Tract,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population,Population Density (per sq. mile),Area (Land),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median household income (In 2013 Inflation Adjusted Dollars),Median household income (In 2013 Inflation Adjusted Dollars):,Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Black or African American Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Asian Alone,Median household income (In 2013 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median household income (In 2013 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median household income (In 2013 Inflation Adjusted Dollars): Two or More Races Householder,Median household income (In 2013 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median household income (In 2013 Inflation Adjusted Dollars): White Alone Householder, not Hispanic or Latino",Average household income (In 2013 Inflation Adjusted Dollars),Median Family Income (In 2013 Inflation adjusted dollars),Average Family Income (In 2013 Inflation adjusted dollars),Median Nonfamily Household Income (In 2013 Inflation Adjusted Dollars),Average Nonfamily Income (In 2013 Inflation Adjusted Dollars),Median Income For Population 15 years and over:,Median Income For Population 15 years and over: Male,"Median Income For Population 15 years and over: Male: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Male: Other,Median Income For Population 15 years and over: Female,"Median Income For Population 15 years and over: Female: Worked full-time, year-round in the past 12 months",Median Income For Population 15 years and over: Female: Other,Median Earnings:,Median Earnings: Less than high school graduate,Median Earnings: High school graduate (includes equivalency),Median Earnings: Some college or associate's degree,Median Earnings: Bachelor's degree,Median Earnings: Graduate or professional degree,Median Earnings: Male,Median Earnings: Male: Less than high school graduate,Median Earnings: Male: High school graduate (includes equivalency),Median Earnings: Male: Some college or associate's degree,Median Earnings: Male: Bachelor's degree,Median Earnings: Male: Graduate or professional degree,Median Earnings: Female,Median Earnings: Female: Less than high school graduate,Median Earnings: Female: High school graduate (includes equivalency),Median Earnings: Female: Some college or associate's degree,Median Earnings: Female: Bachelor's degree,Median Earnings: Female: Graduate or professional degree,Median Household Income Occupied housing units:,Median Household Income Occupied housing units: Owner occupied,Median Household Income Occupied housing units: Renter occupied,Percent change between Renter Occupied and Home Owner Occupied 2013,Households:,Households: With earnings,Households: No earnings,Households:,Households: With wage or salary income,Households: No wage or salary income,Households:,Households: With self-employment income,Households: No self-employment income,Households:,"Households: With interest, dividends, or net rental income","Households: No interest, dividends, or net rental income",Households:,Households: With Social Security income,Households: No Social Security income,Households:,Households: With Supplemental Security Income (SSI),Households: No Supplemental Security Income (SSI),Households:,Households: With public assistance income,Households: No public assistance income,Households:,Households: With retirement income,Households: No retirement income,Households:,Households: With Other types of income,Households: No Other types of income,Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars),Per capita income (In 2013 Inflation adjusted dollars)
36005028400,"Census Tract 284, Bronx County, New York","Census Tract 284, Bronx County, New York",ny,140,0,ACSSF,3679,,,,,36,5,28400,14000US36005028400,,,1116331,0,692,692,1605.502,0.431017827,34,0,0,0,0,0,0,0,12,0,0,0,5,0,11,6,0,113750,113750,,,,,,,,,,98820,,,,,9167,8988,18125,7500,9417,42875,8292,40735,,,43250,,,18438,,,65909,,,41979,,,,,,113750,133864,,-1,34,34,0,34,34,0,34,0,34,34,0,34,34,16,18,34,0,34,34,5,29,34,0,34,34,0,34,7481,15604,3540,,,,6072,,6892,15485
36005007900,"Census Tract 79, Bronx County, New York","Census Tract 79, Bronx County, New York",ny,140,0,ACSSF,3524,,,,,36,5,7900,14000US36005007900,,,197930,0,6128,6128,80187.17,0.076421203,2235,546,366,188,0,200,158,234,109,71,160,77,47,48,0,31,0,25244,25244,19144,26728,,,,16761,13667,19730,,30033,31385,34515,12807,16866,14464,16563,23807,13376,12651,31590,9638,25564,14175,29022,31934,41050,,27676,12210,30917,,,,25442,15508,26267,30542,35737,,25244,197621,25112,-0.872928484,2235,1304,931,2235,1211,1024,2235,114,2121,2235,42,2193,2235,579,1656,2235,496,1739,2235,292,1943,2235,144,2091,2235,387,1848,12031,15176,10644,,,,11755,2513,12369,24248
36005014400,"Census Tract 144, Bronx County, New York","Census Tract 144, Bronx County, New York",ny,140,0,ACSSF,3555,,,,,36,5,14400,14000US36005014400,,,387161,0,5657,5657,37843.59,0.149483704,2021,456,277,228,192,114,125,80,19,29,136,95,121,37,8,51,53,21964,21964,23190,23295,,,,18611,22292,19777,23111,39462,28538,49105,13393,18921,14473,15222,55185,11756,14136,33167,9497,30020,12361,27083,33700,36667,86719,31574,11750,19821,44563,,56625,26943,14028,31579,24063,36667,,21964,151193,19562,-0.870615703,2021,1201,820,2021,1189,832,2021,45,1976,2021,113,1908,2021,701,1320,2021,398,1623,2021,156,1865,2021,421,1600,2021,231,1790,15031,22810,11668,7574,6660,,15263,9738,16968,21972
36005006900,"Census Tract 69, Bronx County, New York","Census Tract 69, Bronx County, New York",ny,140,0,ACSSF,3514,,,,,36,5,6900,14000US36005006900,,,187977,0,7364,7364,101462.8,0.072578329,2608,700,481,193,65,173,217,84,74,142,100,120,73,82,61,34,9,17460,17460,18958,26175,,,,11937,17500,14225,,32913,24851,36172,11298,23231,11988,19375,36286,8562,10597,34898,8770,22357,18304,22451,28375,40568,67839,26235,20652,25556,40500,,,21400,17250,22132,20495,36953,63750,17460,110179,16610,-0.849245319,2608,1683,925,2608,1577,1031,2608,171,2437,2608,155,2453,2608,501,2107,2608,765,1843,2608,312,2296,2608,127,2481,2608,502,2106,12476,19321,13269,20919,6236,,8685,11801,11648,36046
36005017702,"Census Tract 177.02, Bronx County, New York","Census Tract 177.02, Bronx County, New York",ny,140,0,ACSSF,3580,,,,,36,5,17702,14000US36005017702,,,140752,0,4653,4653,85620.2,0.054344653,1609,351,365,71,212,97,42,56,62,52,57,53,94,36,29,32,0,20554,20554,11900,21750,,,,22244,,21315,,32097,23075,33695,12791,25267,14226,19739,26985,13808,10415,32768,8942,21063,14226,15505,29879,36944,90667,24069,19159,15346,38036,68333,,12177,9849,20441,24637,12227,,20554,102917,16515,-0.839530884,1609,1082,527,1609,1063,546,1609,55,1554,1609,38,1571,1609,374,1235,1609,246,1363,1609,209,1400,1609,99,1510,1609,146,1463,11959,5597,17150,,,,9483,5513,9524,
36005039500,"Census Tract 395, Bronx County, New York","Census Tract 395, Bronx County, New York",ny,140,0,ACSSF,3758,,,,,36,5,39500,14000US36005039500,,,410033,0,3760,3760,23750.17,0.158314633,1358,387,173,50,45,72,71,27,42,65,89,99,91,97,29,21,0,26250,26250,17826,33362,,,,23393,,28698,,39466,40985,49346,10923,19277,18398,19217,31722,10601,16791,33716,9366,29947,17286,29919,30208,43750,59595,31658,19239,34356,27009,32202,58190,28218,8603,27621,30972,44000,103600,26250,91154,15833,-0.826304935,1358,819,539,1358,819,539,1358,24,1334,1358,78,1280,1358,351,1007,1358,242,1116,1358,162,1196,1358,151,1207,1358,117,1241,15099,12799,16443,,,,14782,,15729,
36005002000,"Census Tract 20, Bronx County, New York","Census Tract 20, Bronx County, New York",ny,140,0,ACSSF,3478,,,,,36,5,2000,14000US36005002000,,,395566,0,8456,8456,55366.08,0.152728893,2980,778,360,402,203,117,238,158,61,54,132,81,208,131,0,33,24,19150,19150,16854,23125,,36389,,17713,,17762,,34044,21500,35334,15409,22189,13755,20541,38767,9338,11250,32741,9127,21618,19659,19381,27321,34246,44896,31308,22335,25395,43427,90441,19773,17563,12371,17299,15542,33728,62566,19150,93864,17235,-0.816383278,2980,1765,1215,2980,1701,1279,2980,184,2796,2980,151,2829,2980,831,2149,2980,690,2290,2980,356,2624,2980,322,2658,2980,338,2642,13500,11497,16085,18615,17785,,10385,20750,12171,9897
36005005200,"Census Tract 52, Bronx County, New York","Census Tract 52, Bronx County, New York",ny,140,0,ACSSF,3501,,,,,36,5,5200,14000US36005005200,,,182544,0,1985,1985,28163.76,0.070480635,745,237,90,61,10,6,13,44,69,29,55,17,52,30,5,27,0,17106,17106,18393,14583,,,,31538,42538,25833,,35857,26042,37333,15167,29993,15027,15170,36411,9500,14792,40192,8739,27917,15994,23922,38000,43750,41316,33750,17039,35887,70069,,,22431,15200,17344,37750,43750,,17106,90750,16667,-0.816341598,745,452,293,745,434,311,745,75,670,745,25,720,745,285,460,745,88,657,745,34,711,745,63,682,745,148,597,15476,12915,9629,,11023,,24564,15800,19347,
36005036300,"Census Tract 363, Bronx County, New York","Census Tract 363, Bronx County, New York",ny,140,0,ACSSF,3726,,,,,36,5,36300,14000US36005036300,,,223020,0,7841,7841,91059.53,0.086108507,2486,718,246,218,226,97,162,88,0,68,113,145,256,31,68,17,33,21350,21350,18250,10335,,,,24574,14655,23153,,36891,23224,37470,10542,17816,16089,22708,32603,9545,11818,29156,8422,27810,22064,28453,31863,42115,,30496,23980,28729,43947,36571,,22409,14372,25875,28603,46488,,21350,98214,19629,-0.800140509,2486,1701,785,2486,1653,833,2486,68,2418,2486,85,2401,2486,323,2163,2486,536,1950,2486,307,2179,2486,76,2410,2486,367,2119,12817,7631,7558,,31786,,14575,20753,13081,
36005021302,"Census Tract 213.02, Bronx County, New York","Census Tract 213.02, Bronx County, New York",ny,140,0,ACSSF,3608,,,,,36,5,21302,14000US36005021302,,,165079,0,5671,5671,88974.5,0.063737361,1883,186,298,283,145,85,111,75,124,54,170,127,167,23,23,0,12,26152,26152,32222,25335,,,,30274,20750,20500,,37272,31602,41724,19840,27362,16621,17292,26429,10402,15640,32721,10654,25625,21510,22485,30565,62566,24476,22264,21104,24821,30260,64967,,27250,25694,21852,30656,31188,30435,26152,117772,24352,-0.793227592,1883,1362,521,1883,1322,561,1883,118,1765,1883,55,1828,1883,345,1538,1883,329,1554,1883,169,1714,1883,154,1729,1883,250,1633,13364,15438,14613,,14000,,11288,6940,11450,14822
