,zipcode,year,complaint_count,Nstabilized,Pstabilized
0,10001,2010,648,4628,0.474228916897
1,10001,2011,468,4835,0.495440106568
2,10001,2012,344,5514,0.56501690747
3,10001,2013,289,5228,0.535710626089
4,10001,2014,437,5032,0.515626601086
5,10002,2010,1226,8645,0.740915323963
6,10002,2011,1244,8455,0.724631470689
7,10002,2012,1264,8519,0.730116558108
8,10002,2013,1214,8482,0.726945491944
9,10002,2014,1204,8021,0.687435721632
10,10003,2010,873,8273,0.349528919684
11,10003,2011,987,7957,0.336178123284
12,10003,2012,944,7659,0.323587815286
13,10003,2013,1076,7613,0.321644344924
14,10003,2014,1120,7423,0.313616967341
15,10004,2010,13,116,0.0712093308778
16,10004,2011,14,144,0.0883977900552
17,10004,2012,64,14,0.0085942295887
18,10004,2013,7,19,0.011663597299
19,10004,2014,17,16,0.00982197667281
20,10005,2010,5,1010,0.397951142632
21,10005,2011,7,1010,0.397951142632
22,10005,2012,90,1007,0.396769109535
23,10005,2013,10,1006,0.396375098503
24,10005,2014,9,1006,0.396375098503
25,10006,2010,5,105,0.0683148991542
26,10006,2011,5,78,0.0507482108003
27,10006,2012,23,79,0.0513988288874
28,10006,2013,5,71,0.04619388419
29,10006,2014,8,75,0.0487963565387
30,10007,2010,8,442,0.309090909091
31,10007,2011,11,764,0.534265734266
32,10007,2012,10,757,0.529370629371
33,10007,2013,18,593,0.414685314685
34,10007,2014,32,738,0.516083916084
35,10009,2010,1254,11936,0.588444093867
36,10009,2011,1369,14673,0.723378031946
37,10009,2012,1653,14574,0.718497337803
38,10009,2013,1733,14310,0.705482153421
39,10009,2014,1483,14397,0.709771248275
40,10010,2010,319,5804,0.461293911938
41,10010,2011,283,6667,0.529883961214
42,10010,2012,346,6669,0.530042918455
43,10010,2013,383,6770,0.5380702591
44,10010,2014,570,6703,0.532745191543
45,10011,2010,1011,8551,0.391798396334
46,10011,2011,870,7953,0.36439862543
47,10011,2012,741,8412,0.385429553265
48,10011,2013,764,8395,0.384650630011
49,10011,2014,893,8110,0.371592210767
50,10012,2010,409,3307,0.322665625915
51,10012,2011,410,3421,0.333788662309
52,10012,2012,402,3384,0.330178554005
53,10012,2013,484,3291,0.321104498
54,10012,2014,623,3064,0.298955995707
55,10013,2010,443,4310,0.538413491568
56,10013,2011,337,4495,0.56152404747
57,10013,2012,361,4035,0.504059962523
58,10013,2013,203,3969,0.495815115553
59,10013,2014,485,3851,0.481074328545
60,10014,2010,952,5041,0.321328403876
61,10014,2011,897,5058,0.322412034676
62,10014,2012,639,5092,0.324579296277
63,10014,2013,638,4883,0.311257011729
64,10014,2014,708,4717,0.300675675676
65,10016,2010,625,7783,0.326701087185
66,10016,2011,533,7726,0.324308441422
67,10016,2012,553,7083,0.297317718172
68,10016,2013,813,6833,0.28682365781
69,10016,2014,941,6483,0.272131973303
70,10017,2010,112,2081,0.212694194603
71,10017,2011,75,2127,0.21739574816
72,10017,2012,78,2217,0.226594439902
73,10017,2013,66,2094,0.214022894522
74,10017,2014,125,1740,0.177841373671
75,10018,2010,150,2343,0.536155606407
76,10018,2011,166,3200,0.732265446224
77,10018,2012,200,3328,0.761556064073
78,10018,2013,127,3396,0.777116704805
79,10018,2014,154,3519,0.805263157895
80,10019,2010,698,9999,0.476687643021
81,10019,2011,686,9777,0.466104118993
82,10019,2012,755,9853,0.469727307399
83,10019,2013,834,10458,0.49856979405
84,10019,2014,1078,10075,0.480310831426
85,10021,2010,368,4495,0.24353903668
86,10021,2011,317,4240,0.229723140272
87,10021,2012,280,4238,0.2296147803
88,10021,2013,308,4034,0.218562063174
89,10021,2014,412,3838,0.207942785935
90,10022,2010,405,3665,0.240406690718
91,10022,2011,396,3551,0.232928829124
92,10022,2012,313,3490,0.228927517219
93,10022,2013,330,3407,0.223483109216
94,10022,2014,480,3235,0.212200721548
95,10023,2010,629,7532,0.274309855051
96,10023,2011,642,7667,0.279226454949
97,10023,2012,429,7721,0.281193094909
98,10023,2013,514,8675,0.315937067521
99,10023,2014,678,8230,0.299730497487
100,10024,2010,1086,8308,0.361138882852
101,10024,2011,792,7922,0.344359921756
102,10024,2012,903,8003,0.347880895458
103,10024,2013,848,7788,0.338535101065
104,10024,2014,1232,7375,0.320582482069
105,10025,2010,2414,16090,0.521691200311
106,10025,2011,1671,15409,0.499610920174
107,10025,2012,2358,15849,0.513877180468
108,10025,2013,2447,15525,0.50337202516
109,10025,2014,2521,14855,0.48164840153
110,10026,2010,1452,5444,0.758006126427
111,10026,2011,1420,5581,0.777081592871
112,10026,2012,1337,5496,0.765246449457
113,10026,2013,1312,5355,0.745614035088
114,10026,2014,1635,5494,0.764967975494
115,10027,2010,1977,8152,0.740417801998
116,10027,2011,2207,8169,0.741961852861
117,10027,2012,2019,8363,0.759582198002
118,10027,2013,2355,8241,0.748501362398
119,10027,2014,2885,7704,0.699727520436
120,10028,2010,733,7097,0.364397206819
121,10028,2011,582,6286,0.322756212775
